index,name,type,material
0,lines_sut_beam_strut,lines,green
1,lines_sut_beam_tie,lines,blue
2,lines_sut_wall_strut,lines,green
3,lines_sut_wall_tie,lines,blue
4,arrow_force_internal_beam,arrow,red
5,arrow_force_internal_wall,arrow,red
6,arrow_force_external,arrow,red
7,mesh_concrete_wall,mesh,concrete
8,mesh_concrete_beam,mesh,concrete
9,mesh_reinforcement_wall_A,mesh,steel
10,mesh_reinforcement_wall_B,mesh,steel
11,mesh_reinforcement_wall_C,mesh,steel
12,mesh_reinforcement_wall_D,mesh,steel
13,mesh_reinforcement_wall_E,mesh,steel
14,mesh_reinforcement_wall_F,mesh,steel
15,mesh_reinforcement_wall_H,mesh,steel
16,mesh_reinforcement_beam_long,mesh,steel
17,mesh_reinforcement_beam_stirrups,mesh,steel
18,mesh_reinforcement_beam_stringer_top,mesh,steel
19,mesh_reinforcement_beam_stringer_bot,mesh,steel
20,mesh_support,mesh,concrete
21,mesh_reinforcement_wall_secondary,mesh,steel
